Comment,Designator,Footprint,LCSC Part #
0R,L1,R0402,C17168
1uF,C1 C14,C0402,C52923
2.2uF,C2,C0603,C23630
4.7uF,C5,C0402,C23733
10k,R2 R3 R4 R5,R0402,C25744
12pF,C6 C7 C8 C11,C0402,C1547
15k,R1,R0402,C25756
32.768kHz,Y2,CRYSTAL-SMD-3.2X1.5MM,C32346
32MHz_2016,Y1,CRYSTAL-SMD-2.0X1.6MM,C255896
100nF,C3 C4 C9 C10 C12 C17 C18,C0402,C1525
100pF,C13,C0402,C1546
0603,D4 D5 D6,LED_0603,C2286
ANT,U$1,TI-AN043_LEFT,
AP2210K-3.3TRG,VR1,SOT-23-5,C176959
B5819W,D1,SOD-123,C8598
CH340E,U1,MSOP-10,C99652
DNP,C15 C16,C0402,
NRF52832,U2,QFN40P600X600X90-49T450N,C77540
PWR,D3,LED_0603,C72038
SPST-3x4mm,S1,TACTILE_SWITCH_SMD_3.0X4.0MM,C720477
TC2030-IDC-NL,TC1,TC2030-IDC-NL,
TVS,D2,SPT-23-6,C85364
USB-A_PTH_MALE,J1,USB-A-H-RECT,C98125
